employ_id,first_name,last_name,email,phone_number,hire_date,job_id,salary,commission_pct,manager_id,department_id
145,John,Russell,JRUSSEL,011.44.1344.429268,01-08-87,SA_MAN,14000,0.4,100,80
146,Karen,Partners,KPARTNER,011.44.1344.467268,02-08-87,SA_MAN,13500,0.3,100,80
147,Alberto,Errazuriz,AERRAZUR,011.44.1344.429278,03-08-87,SA_MAN,12000,0.3,100,80
148,Gerald,Cambrault,GCAMBRAU,011.44.1344.619268,04-08-87,SA_MAN,11000,0.3,100,80
149,Eleni,Zlotkey,EZLOTKEY,011.44.1344.429018,05-08-87,SA_MAN,10500,0.2,100,80
150,Peter,Tucker,PTUCKER,011.44.1344.129268,06-08-87,SA_REP,10000,0.3,145,80
151,David,Bernstein,DBERNSTE,011.44.1344.345268,07-08-87,SA_REP,9500,0.25,145,80
152,Peter,Hall,PHALL,011.44.1344.478968,08-08-87,SA_REP,9000,0.25,145,80
153,Christopher,Olsen,COLSEN,011.44.1344.498718,09-08-87,SA_REP,8000,0.2,145,80
154,Nanette,Cambrault,NCAMBRAU,011.44.1344.987668,10-08-87,SA_REP,7500,0.2,145,80
155,Oliver,Tuvault,OTUVAULT,011.44.1344.486508,11-08-87,SA_REP,7000,0.15,145,80
156,Janette,King,JKING,011.44.1345.429268,12-08-87,SA_REP,10000,0.35,146,80
157,Patrick,Sully,PSULLY,011.44.1345.929268,13-08-87,SA_REP,9500,0.35,146,80
158,Allan,McEwen,AMCEWEN,011.44.1345.829268,14-08-87,SA_REP,9000,0.35,146,80
159,Lindsey,Smith,LSMITH,011.44.1345.729268,15-08-87,SA_REP,8000,0.3,146,80
160,Louise,Doran,LDORAN,011.44.1345.629268,16-08-87,SA_REP,7500,0.3,146,80
161,Sarath,Sewall,SSEWALL,011.44.1345.529268,17-08-87,SA_REP,7000,0.25,146,80
162,Clara,Vishney,CVISHNEY,011.44.1346.129268,18-08-87,SA_REP,10500,0.25,147,80
163,Danielle,Greene,DGREENE,011.44.1346.229268,19-08-87,SA_REP,9500,0.15,147,80
164,Mattea,Marvins,MMARVINS,011.44.1346.329268,20-08-87,SA_REP,7200,0.1,147,80
165,David,Lee,DLEE,011.44.1346.529268,21-08-87,SA_REP,6800,0.1,147,80
166,Sundar,Ande,SANDE,011.44.1346.629268,22-08-87,SA_REP,6400,0.1,147,80
167,Amit,Banda,ABANDA,011.44.1346.729268,23-08-87,SA_REP,6200,0.1,147,80
168,Lisa,Ozer,LOZER,011.44.1343.929268,24-08-87,SA_REP,11500,0.25,148,80
169,Harrison,Bloom,HBLOOM,011.44.1343.829268,25-08-87,SA_REP,10000,0.2,148,80
170,Tayler,Fox,TFOX,011.44.1343.729268,26-08-87,SA_REP,9600,0.2,148,80
171,William,Smith,WSMITH,011.44.1343.629268,27-08-87,SA_REP,7400,0.15,148,80
172,Elizabeth,Bates,EBATES,011.44.1343.529268,28-08-87,SA_REP,7300,0.15,148,80
173,Sundita,Kumar,SKUMAR,011.44.1343.329268,29-08-87,SA_REP,6100,0.1,148,80
174,Ellen,Abel,EABEL,011.44.1644.429267,30-08-87,SA_REP,11000,0.3,149,80
175,Alyssa,Hutton,AHUTTON,011.44.1644.429266,31-08-87,SA_REP,8800,0.25,149,80
176,Jonathon,Taylor,JTAYLOR,011.44.1644.429265,01-09-87,SA_REP,8600,0.2,149,80
177,Jack,Livingston,JLIVINGS,011.44.1644.429264,02-09-87,SA_REP,8400,0.2,149,80
178,Kimberely,Grant,KGRANT,011.44.1644.429263,03-09-87,SA_REP,7000,0.15,149,
179,Charles,Johnson,CJOHNSON,011.44.1644.429262,04-09-87,SA_REP,6200,0.1,149,80
180,Winston,Taylor,WTAYLOR,650.507.9876,05-09-87,SH_CLERK,3200,,120,50
181,Jean,Fleaur,JFLEAUR,650.507.9877,06-09-87,SH_CLERK,3100,,120,50
182,Martha,Sullivan,MSULLIVA,650.507.9878,07-09-87,SH_CLERK,2500,,120,50
183,Girard,Geoni,GGEONI,650.507.9879,08-09-87,SH_CLERK,2800,,120,50
184,Nandita,Sarchand,NSARCHAN,650.509.1876,09-09-87,SH_CLERK,4200,,121,50
185,Alexis,Bull,ABULL,650.509.2876,10-09-87,SH_CLERK,4100,,121,50
186,Julia,Dellinger,JDELLING,650.509.3876,11-09-87,SH_CLERK,3400,,121,50
187,Anthony,Cabrio,ACABRIO,650.509.4876,12-09-87,SH_CLERK,3000,,121,50
188,Kelly,Chung,KCHUNG,650.505.1876,13-09-87,SH_CLERK,3800,,122,50
189,Jennifer,Dilly,JDILLY,650.505.2876,14-09-87,SH_CLERK,3600,,122,50
190,Timothy,Gates,TGATES,650.505.3876,15-09-87,SH_CLERK,2900,,122,50
191,Randall,Perkins,RPERKINS,650.505.4876,16-09-87,SH_CLERK,2500,,122,50
192,Sarah,Bell,SBELL,650.501.1876,17-09-87,SH_CLERK,4000,,123,50
193,Britney,Everett,BEVERETT,650.501.2876,18-09-87,SH_CLERK,3900,,123,50
194,Samuel,McCain,SMCCAIN,650.501.3876,19-09-87,SH_CLERK,3200,,123,50
195,Vance,Jones,VJONES,650.501.4876,20-09-87,SH_CLERK,2800,,123,50
196,Alana,Walsh,AWALSH,650.507.9811,21-09-87,SH_CLERK,3100,,124,50
197,Kevin,Feeney,KFEENEY,650.507.9822,22-09-87,SH_CLERK,3000,,124,50
198,Donald,OConnell,DOCONNEL,650.507.9833,23-09-87,SH_CLERK,2600,,124,50
199,Douglas,Grant,DGRANT,650.507.9844,24-09-87,SH_CLERK,2600,,124,50
200,Jennifer,Whalen,JWHALEN,515.123.4444,25-09-87,AD_ASST,4400,,101,10
201,Michael,Hartstein,MHARTSTE,515.123.5555,26-09-87,MK_MAN,13000,,100,20
202,Pat,Fay,PFAY,603.123.6666,27-09-87,MK_REP,6000,,201,20
203,Susan,Mavris,SMAVRIS,515.123.7777,28-09-87,HR_REP,6500,,101,40
204,Hermann,Baer,HBAER,515.123.8888,29-09-87,PR_REP,10000,,101,70
205,Shelley,Higgins,SHIGGINS,515.123.8080,30-09-87,AC_MGR,12000,,101,110
206,William,Gietz,WGIETZ,515.123.8181,01-10-87,AC_ACCOUNT,8300,,205,110
